customer_id,account,status,updated
CUST100000,Free,Active,2025-06-12
CUST100001,Free,Active,2025-06-13
CUST100002,Premium,Active,2025-06-15
CUST100003,Premium,Inactive,2025-06-06
CUST100004,Premium,Inactive,2025-06-01
CUST100005,Free,Active,2025-06-13
CUST100006,Premium,Inactive,2025-06-13
CUST100007,Premium,Inactive,2025-06-14
CUST100008,Premium,Active,2025-06-20
CUST100009,Free,Active,2025-06-08
CUST100010,Premium,Active,2025-06-13
CUST100011,Premium,Inactive,2025-06-08
CUST100012,Premium,Inactive,2025-06-01
CUST100013,Free,Inactive,2025-06-17
CUST100014,Free,Active,2025-06-13
CUST100015,Free,Active,2025-06-15
CUST100016,Free,Inactive,2025-06-16
CUST100017,Premium,Active,2025-06-04
CUST100018,Free,Inactive,2025-06-13
CUST100019,Premium,Active,2025-06-12
CUST100020,Premium,Active,2025-06-01
CUST100021,Free,Active,2025-06-06
CUST100022,Premium,Active,2025-06-19
CUST100023,Premium,Inactive,2025-06-11
CUST100024,Premium,Inactive,2025-06-22
CUST100025,Premium,Active,2025-06-22
CUST100026,Premium,Inactive,2025-06-04
CUST100027,Free,Active,2025-06-20
CUST100028,Free,Inactive,2025-06-13
CUST100029,Free,Active,2025-06-20
CUST100030,Free,Active,2025-06-10
CUST100031,Premium,Active,2025-06-06
CUST100032,Free,Active,2025-06-14
CUST100033,Free,Active,2025-06-17
CUST100034,Premium,Active,2025-06-22
CUST100035,Free,Inactive,2025-06-14
CUST100036,Premium,Active,2025-06-16
CUST100037,Free,Active,2025-06-08
CUST100038,Premium,Active,2025-06-18
CUST100039,Free,Inactive,2025-06-07
CUST100040,Premium,Inactive,2025-06-14
CUST100041,Premium,Active,2025-06-20
CUST100042,Premium,Active,2025-06-22
CUST100043,Free,Active,2025-06-22
CUST100044,Free,Active,2025-06-06
CUST100045,Premium,Inactive,2025-06-03
CUST100046,Free,Inactive,2025-06-13
CUST100047,Free,Active,2025-06-04
CUST100048,Free,Inactive,2025-06-21
CUST100049,Premium,Inactive,2025-06-17
CUST100050,Premium,Active,2025-06-11
CUST100051,Free,Inactive,2025-06-05
CUST100052,Premium,Inactive,2025-06-11
CUST100053,Premium,Inactive,2025-06-01
CUST100054,Free,Inactive,2025-06-06
CUST100055,Free,Inactive,2025-06-15
CUST100056,Premium,Active,2025-06-01
CUST100057,Premium,Active,2025-06-15
CUST100058,Premium,Inactive,2025-06-08
CUST100059,Premium,Active,2025-06-20
CUST100060,Premium,Active,2025-06-13
CUST100061,Premium,Active,2025-06-04
CUST100062,Free,Inactive,2025-06-14
CUST100063,Free,Inactive,2025-06-17
CUST100064,Premium,Inactive,2025-06-15
CUST100065,Premium,Active,2025-06-12
CUST100066,Premium,Inactive,2025-06-05
CUST100067,Free,Inactive,2025-06-12
CUST100068,Premium,Active,2025-06-06
CUST100069,Premium,Inactive,2025-06-16
CUST100070,Free,Inactive,2025-06-02
CUST100071,Free,Inactive,2025-06-09
CUST100072,Premium,Active,2025-06-01
CUST100073,Free,Inactive,2025-06-03
CUST100074,Free,Active,2025-06-07
CUST100075,Premium,Active,2025-06-02
CUST100076,Premium,Inactive,2025-06-22
CUST100077,Free,Active,2025-06-11
CUST100078,Premium,Active,2025-06-04
CUST100079,Premium,Inactive,2025-06-15
CUST100080,Free,Active,2025-06-20
CUST100081,Free,Inactive,2025-06-14
CUST100082,Premium,Inactive,2025-06-20
CUST100083,Premium,Inactive,2025-06-02
CUST100084,Free,Active,2025-06-13
CUST100085,Free,Inactive,2025-06-06
CUST100086,Premium,Inactive,2025-06-20
CUST100087,Free,Inactive,2025-06-02
CUST100088,Free,Inactive,2025-06-19
CUST100089,Premium,Active,2025-06-13
CUST100090,Free,Inactive,2025-06-02
CUST100091,Free,Inactive,2025-06-18
CUST100092,Free,Active,2025-06-05
CUST100093,Premium,Inactive,2025-06-12
CUST100094,Free,Inactive,2025-06-17
CUST100095,Free,Active,2025-06-19
CUST100096,Free,Active,2025-06-16
CUST100097,Free,Active,2025-06-05
CUST100098,Free,Active,2025-06-20
CUST100099,Premium,Active,2025-06-22
CUST100100,Free,Active,2025-06-16
CUST100101,Free,Active,2025-06-16
CUST100102,Premium,Active,2025-06-15
CUST100103,Free,Active,2025-06-11
CUST100104,Free,Inactive,2025-06-16
CUST100105,Premium,Active,2025-06-01
CUST100106,Free,Inactive,2025-06-21
CUST100107,Premium,Inactive,2025-06-03
CUST100108,Premium,Active,2025-06-22
CUST100109,Free,Inactive,2025-06-18
CUST100110,Premium,Inactive,2025-06-04
CUST100111,Free,Active,2025-06-05
CUST100112,Premium,Inactive,2025-06-19
CUST100113,Premium,Active,2025-06-10
CUST100114,Premium,Active,2025-06-14
CUST100115,Premium,Active,2025-06-03
CUST100116,Premium,Inactive,2025-06-01
CUST100117,Premium,Inactive,2025-06-17
CUST100118,Premium,Inactive,2025-06-19
CUST100119,Free,Inactive,2025-06-19
CUST100120,Premium,Inactive,2025-06-15
CUST100121,Free,Active,2025-06-17
CUST100122,Free,Inactive,2025-06-08
CUST100123,Free,Active,2025-06-20
CUST100124,Premium,Inactive,2025-06-06
CUST100125,Free,Active,2025-06-01
CUST100126,Free,Active,2025-06-07
CUST100127,Free,Active,2025-06-01
CUST100128,Premium,Inactive,2025-06-03
CUST100129,Premium,Active,2025-06-22
CUST100130,Premium,Active,2025-06-11
CUST100131,Free,Active,2025-06-18
CUST100132,Free,Active,2025-06-18
CUST100133,Premium,Inactive,2025-06-10
CUST100134,Premium,Inactive,2025-06-13
CUST100135,Premium,Active,2025-06-14
CUST100136,Premium,Inactive,2025-06-11
CUST100137,Premium,Active,2025-06-19
CUST100138,Premium,Inactive,2025-06-19
CUST100139,Premium,Inactive,2025-06-15
CUST100140,Free,Active,2025-06-17
CUST100141,Free,Inactive,2025-06-16
CUST100142,Premium,Active,2025-06-21
CUST100143,Premium,Inactive,2025-06-10
CUST100144,Premium,Inactive,2025-06-05
CUST100145,Premium,Active,2025-06-20
CUST100146,Free,Active,2025-06-03
CUST100147,Premium,Inactive,2025-06-05
CUST100148,Premium,Active,2025-06-06
CUST100149,Free,Inactive,2025-06-13
CUST100150,Premium,Inactive,2025-06-13
CUST100151,Premium,Active,2025-06-17
CUST100152,Premium,Inactive,2025-06-06
CUST100153,Free,Inactive,2025-06-17
CUST100154,Premium,Inactive,2025-06-20
CUST100155,Premium,Active,2025-06-03
CUST100156,Free,Inactive,2025-06-14
CUST100157,Premium,Inactive,2025-06-08
CUST100158,Premium,Active,2025-06-17
CUST100159,Premium,Inactive,2025-06-06
CUST100160,Premium,Inactive,2025-06-22
CUST100161,Premium,Active,2025-06-08
CUST100162,Free,Inactive,2025-06-11
CUST100163,Free,Inactive,2025-06-13
CUST100164,Premium,Active,2025-06-18
CUST100165,Free,Inactive,2025-06-06
CUST100166,Free,Active,2025-06-08
CUST100167,Free,Inactive,2025-06-04
CUST100168,Premium,Active,2025-06-08
CUST100169,Free,Active,2025-06-06
CUST100170,Free,Inactive,2025-06-10
CUST100171,Free,Inactive,2025-06-14
CUST100172,Free,Inactive,2025-06-04
CUST100173,Premium,Inactive,2025-06-22
CUST100174,Free,Inactive,2025-06-12
CUST100175,Premium,Active,2025-06-19
CUST100176,Premium,Active,2025-06-21
CUST100177,Premium,Inactive,2025-06-04
CUST100178,Premium,Active,2025-06-14
CUST100179,Premium,Inactive,2025-06-22
CUST100180,Free,Active,2025-06-07
CUST100181,Premium,Inactive,2025-06-08
CUST100182,Premium,Inactive,2025-06-02
CUST100183,Free,Active,2025-06-22
CUST100184,Free,Active,2025-06-21
CUST100185,Premium,Inactive,2025-06-01
CUST100186,Premium,Inactive,2025-06-16
CUST100187,Premium,Active,2025-06-06
CUST100188,Premium,Inactive,2025-06-04
CUST100189,Premium,Active,2025-06-12
CUST100190,Premium,Inactive,2025-06-15
CUST100191,Free,Active,2025-06-08
CUST100192,Premium,Active,2025-06-08
CUST100193,Premium,Active,2025-06-09
CUST100194,Free,Inactive,2025-06-08
CUST100195,Premium,Inactive,2025-06-01
CUST100196,Free,Inactive,2025-06-04
CUST100197,Premium,Active,2025-06-11
CUST100198,Free,Inactive,2025-06-21
CUST100199,Premium,Inactive,2025-06-13
CUST100200,Premium,Inactive,2025-06-10
CUST100201,Free,Inactive,2025-06-15
CUST100202,Premium,Active,2025-06-13
CUST100203,Free,Active,2025-06-10
CUST100204,Free,Active,2025-06-02
CUST100205,Premium,Active,2025-06-18
CUST100206,Free,Inactive,2025-06-09
CUST100207,Free,Inactive,2025-06-10
CUST100208,Free,Active,2025-06-08
CUST100209,Premium,Inactive,2025-06-21
CUST100210,Free,Inactive,2025-06-21
CUST100211,Free,Active,2025-06-02
CUST100212,Premium,Active,2025-06-03
CUST100213,Free,Inactive,2025-06-20
CUST100214,Free,Active,2025-06-18
CUST100215,Free,Inactive,2025-06-11
CUST100216,Premium,Inactive,2025-06-03
CUST100217,Free,Inactive,2025-06-02
CUST100218,Premium,Active,2025-06-09
